cEXT,cNEU,cAGR,cCON,cOPN,Article,Funct,Affect,CogMech,Inhib,Negemo,Sad,Bio,Body,Achiev,Health,Sexual,Adverbs,Prep,Relativ,Space,Time,Work,Certain,Assent,Anger,Insight,Posemo,Past,Verbs,Money,Percept,Friends,Social,Motion,Cause,Leisure,Incl,Home,Present,Humans,Anx,Relig,AuxVb,Negate,Ingest,Death,Quant,Tentat,Conj,Ipron,Pronoun,Swear,Hear,Family,See,Discrep,Numbers,Filler,Feel,Excl,Future,Nonflu,SheHe,Ppron,I,We,You,They
y,y,y,n,y,36,0,80,9,46,2,2,88,0,58,33,140,46,1,8,77,108,35,24,10,10,45,455,0,51,6,5,14,3,6,4,8,63,6,1,151,3,79,26,2,10,4,25,20,13,30,14,1,5,18,1,16,97,13,146,6,24,2,1,2,1,1,0,1
n,n,y,n,n,14,1,53,10,21,0,4,78,2,33,26,116,41,4,15,63,58,30,15,4,10,50,333,7,31,11,5,10,3,5,8,2,40,4,5,118,1,59,34,3,6,2,10,23,4,24,14,1,0,28,1,15,81,10,121,2,8,0,2,4,0,3,0,5
n,y,y,n,y,5,2,73,24,27,1,14,105,3,18,22,131,34,0,21,85,56,17,21,6,12,48,392,3,32,24,4,7,2,6,2,5,37,3,1,142,1,74,51,6,4,1,25,26,8,21,6,13,5,12,1,27,85,13,91,8,20,2,8,4,1,2,0,7
n,y,y,y,n,8,0,55,7,26,0,0,56,1,18,15,66,30,4,8,38,53,15,18,3,3,44,264,3,21,3,2,7,2,8,1,4,29,5,0,85,4,37,21,3,1,1,6,18,6,23,8,2,1,16,3,3,43,10,61,2,18,3,0,3,1,3,0,0
y,n,y,y,n,24,2,70,7,26,2,5,88,4,46,31,115,32,1,15,68,65,31,22,14,6,40,382,1,53,12,9,10,1,8,4,3,34,1,0,122,4,67,45,1,11,4,20,33,5,32,9,2,3,12,2,16,76,3,126,2,17,0,3,3,1,2,0,3
y,n,y,y,y,39,1,106,5,45,0,5,121,2,41,48,165,75,4,9,96,100,24,30,13,7,51,561,2,64,15,2,16,1,26,14,2,52,0,3,173,13,84,45,0,5,1,26,30,7,43,15,2,0,52,1,23,110,17,203,1,34,1,1,7,0,4,0,3
y,n,y,y,n,7,0,65,7,26,0,0,84,2,36,22,108,54,3,15,66,77,18,12,10,5,48,373,5,34,6,4,4,1,13,2,2,22,3,2,106,5,74,35,2,3,3,10,29,2,28,8,1,4,37,5,13,75,16,100,1,8,2,0,5,0,8,0,4
y,n,y,y,n,3,0,37,11,15,3,0,47,0,19,8,52,7,5,11,30,38,5,10,2,2,29,170,2,14,3,6,2,2,5,3,2,15,1,0,62,1,26,13,0,1,0,6,10,1,12,4,3,3,11,2,4,38,5,35,3,11,0,0,1,0,3,0,3
y,y,n,n,y,28,3,98,9,47,1,9,94,3,37,38,140,50,0,13,65,100,29,32,11,12,73,536,4,49,16,14,13,2,11,0,13,67,13,3,161,9,77,37,5,4,0,22,21,13,59,14,1,1,32,0,17,90,18,160,3,26,11,6,3,2,2,0,2
y,y,n,y,y,41,1,132,12,56,2,3,137,2,47,60,172,56,5,9,117,110,41,31,17,13,63,654,5,72,17,4,12,2,0,7,6,97,2,5,234,3,90,53,0,6,4,33,35,7,41,13,3,0,32,4,24,119,12,219,4,25,8,3,12,4,2,1,5
y,y,y,n,y,24,0,96,10,32,0,2,106,3,36,23,124,48,2,8,90,84,24,20,13,8,40,436,5,35,9,0,9,0,5,4,5,44,4,5,150,6,71,38,6,3,4,15,27,7,29,12,0,4,25,1,16,86,17,124,5,18,0,1,5,0,1,1,0
n,y,n,n,n,16,0,69,6,32,3,2,78,0,36,18,99,35,2,16,57,78,17,11,5,3,40,325,1,36,6,9,10,1,4,4,7,33,3,2,111,4,50,23,0,4,3,13,17,1,20,10,1,4,19,2,14,71,13,92,1,21,0,1,1,0,7,3,3
n,y,n,y,y,9,0,58,2,26,1,0,40,4,27,9,105,12,1,3,34,59,10,22,5,7,25,267,1,21,5,5,5,6,9,2,13,36,2,2,76,3,61,29,3,3,0,11,24,5,20,4,0,0,10,1,8,73,10,59,0,18,0,0,5,0,2,0,2
y,y,y,n,y,10,1,78,11,34,0,2,77,0,53,23,83,57,3,10,60,95,22,10,14,4,38,363,5,31,9,7,6,0,6,1,16,36,4,3,113,4,46,35,0,5,1,10,26,5,24,6,2,0,30,1,10,42,13,105,4,31,3,1,5,1,2,0,2
n,y,n,n,n,11,0,46,4,24,0,2,69,3,35,17,102,25,0,0,66,68,17,12,4,12,13,266,3,34,6,2,3,2,14,3,0,26,2,1,95,3,52,23,1,5,3,4,17,1,9,9,0,1,11,1,18,66,14,72,1,12,0,0,4,1,1,0,1
y,n,y,y,y,14,1,33,2,10,0,1,44,2,19,16,75,29,5,2,31,31,15,4,7,6,31,228,0,23,3,5,3,1,4,0,1,34,4,1,78,2,48,18,1,2,7,6,15,0,19,12,2,0,12,2,9,44,4,66,0,18,5,0,2,1,0,0,0
y,n,n,y,y,9,0,58,6,17,0,0,72,2,23,24,87,42,4,17,55,44,13,18,5,5,41,318,1,30,4,4,15,0,0,2,2,36,2,0,108,1,54,27,1,4,1,14,23,4,21,5,3,0,28,1,14,56,7,107,2,17,0,0,4,2,4,0,2
n,n,n,n,y,9,0,42,3,23,0,3,43,0,22,20,67,28,0,1,22,49,22,8,5,9,40,244,0,24,6,8,9,0,7,2,3,30,2,1,73,15,43,19,6,1,6,9,16,3,24,10,1,0,14,0,17,40,5,84,2,7,5,0,5,0,1,3,0
y,n,y,n,y,25,0,68,5,31,0,3,88,3,26,48,121,45,7,12,60,63,41,23,8,6,55,399,3,54,11,9,12,3,8,5,8,49,2,0,137,6,58,39,0,5,7,20,28,5,21,15,2,0,22,1,24,83,11,149,0,23,3,1,5,1,4,0,6
n,y,y,n,n,7,0,55,27,15,11,1,54,3,30,18,70,34,0,3,52,57,8,12,4,5,12,259,6,28,11,2,8,0,7,4,1,25,3,1,79,1,36,18,2,1,1,11,7,1,24,8,0,3,14,0,10,46,17,69,10,15,0,0,5,0,4,1,2
y,y,n,y,y,20,0,53,9,34,0,0,93,2,43,26,106,39,4,16,73,71,17,11,7,4,68,349,4,28,10,9,5,0,8,2,5,42,1,1,135,5,61,38,3,14,4,18,28,13,31,7,4,7,16,4,10,66,7,93,1,29,1,0,3,1,5,5,3
n,y,n,y,n,12,1,40,3,18,0,1,32,1,20,4,67,13,0,1,29,44,14,12,3,8,12,195,3,26,6,4,6,1,4,4,2,25,4,0,57,2,42,13,0,1,3,11,7,2,11,11,0,0,3,0,8,40,6,45,0,9,0,2,3,1,2,0,1
n,y,y,n,y,9,3,70,11,28,0,5,81,1,42,17,111,48,6,29,59,79,13,8,9,10,69,374,2,38,12,2,10,4,2,2,2,36,0,0,117,1,70,32,1,2,4,12,19,2,37,8,6,2,26,1,17,48,8,96,3,41,2,4,1,0,0,0,3
n,y,n,n,n,18,1,72,9,28,0,5,63,0,33,22,111,39,0,3,55,64,30,23,10,5,30,353,6,41,11,7,9,0,6,4,6,35,2,1,98,5,61,31,3,1,2,12,20,6,31,8,0,0,12,0,14,70,4,109,3,24,2,2,4,0,2,0,2
n,n,n,n,y,22,0,64,9,20,4,0,74,3,29,23,109,29,4,0,58,48,23,11,8,5,36,357,0,40,2,1,11,1,5,10,5,49,2,7,123,0,73,18,0,7,1,16,16,2,17,13,0,0,14,0,10,71,4,109,5,19,12,0,5,2,0,0,0
y,n,y,n,n,10,1,56,14,26,4,5,40,0,20,15,77,25,1,3,30,56,12,6,6,4,25,255,1,22,10,9,11,6,4,6,4,32,1,3,72,3,47,30,0,1,6,16,19,4,26,17,1,1,12,3,15,54,9,72,9,13,3,6,1,1,4,1,0
y,y,y,n,y,15,0,44,7,14,1,0,46,2,24,20,72,25,4,10,33,39,18,20,5,6,33,258,3,26,4,0,5,2,3,0,7,28,2,0,74,0,49,16,0,2,0,5,12,7,24,2,2,0,16,2,8,45,3,78,1,14,2,0,4,0,0,0,1
y,n,y,n,n,14,0,70,12,30,5,6,107,0,34,27,155,55,1,11,90,93,18,16,5,18,36,422,1,34,11,14,20,1,17,1,6,37,0,2,144,11,84,27,1,1,9,16,16,2,17,10,3,0,16,0,41,111,27,134,3,13,0,0,8,0,6,0,3
y,n,n,y,n,13,0,49,2,20,0,2,52,2,16,13,76,32,0,10,41,48,17,8,2,5,30,224,1,28,6,4,3,1,3,5,0,20,1,1,72,1,41,22,2,2,0,4,16,2,12,7,0,3,22,1,21,58,10,83,1,4,0,0,2,0,2,0,1
y,n,y,n,n,11,1,60,9,23,0,8,57,2,18,14,80,33,2,11,44,51,11,10,4,3,39,265,2,32,8,3,6,4,10,2,4,27,0,1,84,2,42,37,1,2,1,9,28,8,25,3,5,0,13,2,6,63,11,63,2,12,1,2,2,0,5,0,0
y,n,y,y,y,42,0,131,16,56,7,1,175,2,70,61,229,94,2,20,147,136,53,31,11,28,88,832,1,96,8,3,24,2,22,9,5,119,3,3,294,10,145,39,2,6,3,29,31,10,57,15,3,0,47,2,30,142,15,250,5,43,5,0,7,1,5,0,0
y,n,n,y,n,20,0,61,25,22,0,1,114,0,52,23,125,42,1,12,101,83,37,12,6,13,35,412,7,50,7,10,18,6,8,22,3,45,3,1,159,1,80,44,1,5,0,15,36,3,17,26,2,2,16,3,20,88,14,110,16,18,0,1,6,0,6,0,3
n,n,y,y,n,21,3,88,9,32,3,2,111,4,48,23,130,83,3,27,71,93,24,25,19,3,79,467,4,52,15,3,16,0,2,1,6,49,5,0,160,6,57,45,2,3,3,25,28,5,23,9,2,6,47,5,8,73,16,150,0,47,4,0,10,0,12,0,10
y,n,y,y,y,19,1,46,3,24,0,2,67,2,36,23,107,35,6,7,50,61,19,11,6,4,29,300,0,46,5,1,5,1,2,9,5,28,4,3,95,4,59,23,0,7,6,8,18,1,16,20,1,1,21,0,12,77,8,102,2,15,0,0,5,0,3,4,1
y,y,y,n,n,6,0,71,9,32,1,1,50,1,28,29,77,44,1,0,39,70,23,12,8,4,28,329,1,41,14,2,6,1,6,5,6,37,0,1,87,5,53,21,2,1,1,7,7,2,21,6,0,4,26,2,4,42,11,95,7,25,5,0,0,5,7,1,4
n,y,n,y,n,13,0,83,13,36,6,8,105,1,47,25,154,51,9,29,79,90,22,17,9,17,59,473,1,56,17,8,14,7,10,6,4,48,10,2,153,3,101,54,4,7,0,16,37,7,26,17,4,5,34,1,29,102,13,134,6,19,0,6,9,0,12,5,5
n,n,y,y,n,3,0,45,7,13,0,0,34,0,14,11,58,19,0,1,32,35,5,7,4,3,18,188,6,15,9,4,4,0,3,1,1,25,1,4,59,1,32,15,4,0,1,3,6,0,15,3,0,1,10,0,10,46,8,52,1,5,0,0,1,0,7,0,6
n,n,n,n,n,11,2,51,14,19,3,2,52,1,30,14,76,21,2,5,42,52,12,10,8,4,18,257,3,25,8,0,6,1,16,7,4,31,2,2,83,2,46,18,0,3,3,11,10,1,25,13,0,0,9,1,7,47,5,64,8,16,3,0,3,0,2,1,2
y,n,y,n,y,17,0,68,6,32,0,4,111,1,27,22,132,36,1,47,61,63,28,13,6,12,96,385,4,52,10,2,9,1,4,2,5,22,4,5,133,11,77,47,5,5,2,13,37,3,19,8,0,1,20,4,13,87,9,110,2,22,2,0,4,1,4,0,2
y,y,y,n,y,17,0,70,4,28,0,4,91,0,37,18,117,41,2,22,78,72,14,20,13,4,69,368,1,37,11,18,11,0,5,3,5,30,2,1,121,6,61,39,0,4,1,11,27,1,23,6,2,19,24,1,13,78,11,105,1,17,2,0,5,0,5,0,3
y,n,n,y,y,14,1,70,12,35,1,1,68,3,41,26,100,43,4,4,42,95,29,5,8,4,55,369,5,42,4,1,18,0,7,1,0,53,6,2,121,7,66,18,1,2,4,10,14,7,36,13,0,0,18,0,13,68,20,104,6,23,11,0,1,0,4,1,1
y,n,n,y,y,25,0,52,10,22,1,2,62,1,28,18,84,32,0,0,58,56,16,19,7,2,13,278,4,23,4,7,8,0,9,9,1,31,1,1,93,4,45,21,3,2,0,10,17,2,25,10,3,0,16,0,17,51,7,95,2,16,0,0,9,0,1,0,1
n,y,y,n,y,15,0,81,8,38,2,2,109,0,49,26,145,54,5,18,81,87,23,28,18,8,65,472,0,46,9,6,18,3,20,6,3,34,3,0,143,6,100,45,6,10,3,19,36,9,25,12,4,8,34,1,18,96,10,145,2,27,1,1,6,1,5,1,2
y,y,y,y,y,13,0,39,8,12,3,2,60,1,16,11,75,22,0,2,56,34,16,9,2,3,14,221,1,40,5,0,7,1,9,5,0,19,1,2,79,0,39,18,0,0,1,8,13,2,12,7,3,0,4,3,11,52,6,57,1,16,2,1,5,0,2,0,3
n,n,n,y,y,20,0,45,5,19,1,0,40,1,25,21,61,21,0,1,32,42,24,16,11,9,22,251,1,24,3,1,4,0,6,2,3,31,1,0,71,3,42,20,2,6,2,14,18,2,30,6,0,0,9,1,9,37,3,96,3,5,4,0,3,0,2,0,2
y,n,n,y,n,16,1,38,10,19,6,3,75,1,37,12,95,32,1,8,67,57,14,10,7,3,27,279,3,36,10,2,11,1,4,6,2,22,1,1,97,2,61,28,0,4,1,11,18,2,16,8,1,2,13,2,11,73,4,77,2,14,1,1,3,2,5,0,0
y,n,y,y,n,8,0,99,7,36,1,4,73,1,46,23,112,47,0,1,70,93,22,24,8,6,21,430,1,60,8,3,16,0,20,4,4,40,3,3,113,3,65,26,2,4,1,23,18,7,37,8,0,1,28,0,12,63,13,115,5,34,0,0,4,0,5,0,1
y,y,n,y,y,12,0,70,3,24,1,2,57,0,34,27,106,44,4,14,44,59,22,15,8,19,37,343,1,39,6,3,6,0,11,1,7,35,0,2,92,1,70,22,4,5,2,14,16,2,21,3,1,4,21,0,20,60,6,99,0,12,0,0,9,2,6,0,0
n,y,n,n,n,20,0,35,8,22,2,1,64,1,19,11,85,16,2,12,50,43,18,11,3,2,24,211,3,19,4,1,3,1,9,2,3,18,1,1,82,0,39,18,4,1,1,11,14,2,11,4,0,0,10,1,7,62,3,60,3,19,1,0,0,1,1,0,2
n,n,n,n,y,15,0,48,4,15,2,2,38,3,11,10,70,23,0,2,31,32,16,9,3,3,22,229,1,31,6,0,13,0,6,0,2,43,5,0,81,0,39,21,0,0,4,11,15,1,9,9,0,0,14,0,5,59,5,72,1,6,6,1,2,0,3,0,0
n,n,n,n,n,32,0,68,11,22,0,2,72,0,27,30,111,58,4,0,57,50,30,22,8,9,27,375,1,42,11,10,13,1,5,3,8,40,1,0,112,6,63,31,2,4,2,14,22,5,31,6,6,1,23,0,12,76,6,126,5,18,5,0,4,0,1,0,1
n,n,y,y,n,17,0,53,4,27,0,0,31,0,28,10,61,23,0,5,23,53,16,13,6,4,23,252,1,28,3,6,4,1,8,3,5,31,3,1,62,0,38,21,0,5,2,7,18,5,39,8,1,1,11,0,5,40,2,59,2,12,3,0,7,1,0,1,1
y,y,y,n,n,13,1,70,5,29,4,4,85,5,18,15,108,28,4,28,50,55,14,15,8,1,61,340,0,43,6,3,8,1,9,1,6,32,0,4,117,2,67,29,2,3,3,12,23,9,20,5,1,0,33,3,6,71,11,99,0,29,2,1,4,1,7,0,0
y,n,n,n,n,5,0,36,0,12,0,1,29,4,16,14,41,11,0,0,21,33,7,3,3,0,17,173,0,34,6,0,2,0,7,1,5,31,2,0,60,0,24,17,0,1,1,3,11,1,7,4,0,0,5,0,2,32,6,37,0,8,8,0,4,2,0,0,1
y,y,n,n,y,16,2,132,19,46,8,1,154,2,52,49,173,79,3,48,92,111,57,33,8,29,115,687,3,61,10,4,18,4,19,7,10,56,11,4,210,20,119,51,9,8,4,19,41,14,64,22,4,0,33,1,36,94,16,189,8,39,2,0,5,4,3,1,1
n,n,n,n,n,21,1,120,5,49,0,1,99,0,62,26,145,62,1,11,79,125,26,18,15,16,48,532,1,41,7,19,19,1,27,6,6,50,3,2,149,4,93,29,6,1,0,14,21,4,56,9,1,5,32,0,17,88,15,147,4,31,8,3,11,0,5,0,4
y,n,n,n,y,18,1,52,6,24,0,6,59,0,34,16,69,27,0,15,44,60,23,9,4,3,39,242,3,32,9,0,8,3,3,5,3,24,2,0,83,2,36,21,2,5,1,10,13,2,11,9,0,1,17,0,9,49,6,85,3,12,1,1,3,1,2,0,1
n,n,n,n,y,14,2,51,3,16,0,2,63,1,16,11,91,28,14,13,38,38,15,11,5,7,42,281,2,25,7,0,7,0,2,0,0,33,2,0,96,1,63,19,1,2,1,13,13,7,17,3,0,1,23,0,15,75,6,82,1,1,1,2,2,1,0,0,2
y,n,y,y,y,28,1,99,10,33,0,5,84,3,46,38,147,53,1,3,76,88,27,22,20,12,34,497,5,57,8,4,8,3,30,1,3,53,3,2,137,1,86,25,2,2,3,20,17,8,54,7,5,0,25,1,19,96,10,150,0,26,4,2,3,0,1,0,1
y,n,y,y,y,4,0,28,5,6,0,3,39,0,10,19,66,22,0,3,36,20,11,6,1,5,16,163,4,22,9,1,8,1,3,1,1,16,1,0,55,0,27,16,4,1,1,13,7,0,9,3,0,0,5,0,22,53,5,67,2,7,1,2,2,1,3,0,1
n,y,y,n,y,15,3,36,4,18,0,1,7,1,26,15,84,28,2,9,1,47,16,14,19,10,16,226,1,24,2,3,7,0,2,3,7,23,7,2,30,0,56,14,5,1,0,23,12,2,25,10,0,0,14,0,9,49,4,84,3,14,1,1,2,0,0,0,0
n,y,n,y,n,1,1,27,12,8,3,4,28,0,19,6,50,15,1,1,27,34,8,5,0,6,9,142,6,18,5,6,0,0,5,1,4,10,0,3,38,0,31,12,1,0,1,4,7,0,10,2,0,0,7,0,5,33,6,32,3,5,0,2,5,0,2,0,0
y,n,y,y,y,4,0,49,6,16,0,0,30,0,14,2,34,19,1,0,27,34,5,8,5,1,14,164,4,9,0,0,6,0,11,0,1,11,4,0,41,1,19,2,1,0,0,2,2,3,20,4,1,3,14,0,3,17,4,36,2,13,1,0,2,0,0,1,0
y,n,y,y,y,26,1,80,5,19,1,6,105,6,34,45,164,63,6,10,85,57,25,22,10,6,48,484,3,61,17,11,12,2,9,7,3,52,5,6,157,5,90,61,2,8,1,27,44,6,32,13,1,1,32,3,22,113,8,166,0,30,3,3,4,1,1,0,5
n,y,y,n,y,28,0,41,7,11,1,0,56,1,25,19,85,16,1,0,52,36,16,13,13,13,21,237,2,16,6,1,6,0,6,0,0,21,1,0,77,2,56,21,0,6,6,12,15,2,14,7,0,0,7,0,6,62,5,93,4,2,1,0,6,2,1,1,1
n,y,n,y,n,27,2,56,8,17,0,1,72,2,20,24,112,47,2,5,61,43,26,16,11,5,35,336,2,40,13,1,7,0,7,10,1,43,0,3,115,9,63,39,0,3,1,18,25,5,15,11,4,1,13,0,17,78,8,110,2,9,0,0,6,2,3,4,6
y,n,y,y,n,9,0,66,3,34,0,2,75,4,32,33,72,40,4,12,48,81,15,13,2,6,52,328,2,55,6,12,3,4,7,3,6,22,2,1,97,12,36,25,5,1,1,9,19,3,23,7,0,3,38,5,8,38,14,101,1,22,1,0,3,0,13,0,3
n,y,y,y,n,12,0,81,22,47,2,1,120,1,50,24,159,39,0,8,108,111,31,12,10,13,33,463,4,48,4,2,20,0,11,18,4,37,8,2,157,4,96,33,1,5,0,18,29,3,37,27,0,8,17,1,23,110,18,122,18,21,1,0,12,0,6,1,2
y,n,n,y,n,10,0,57,7,29,2,1,69,1,23,29,89,46,1,18,48,56,24,4,2,8,44,310,0,40,7,0,13,1,2,4,2,26,2,2,95,3,60,21,0,2,2,12,14,3,18,9,0,0,17,1,12,67,6,96,5,6,5,0,1,1,6,0,2
n,n,n,n,y,25,1,76,14,28,1,8,39,2,16,14,92,28,1,0,23,53,17,17,20,9,39,325,0,16,14,3,6,1,1,8,7,63,2,4,102,11,49,35,0,2,1,21,19,4,38,11,7,1,18,1,10,69,11,106,6,9,4,5,3,2,1,0,3
n,n,n,n,y,13,0,49,4,30,0,2,38,2,25,16,60,31,3,1,30,58,14,5,4,2,31,226,0,25,7,4,4,1,0,6,2,32,0,1,70,3,33,22,0,6,5,11,15,6,19,11,0,0,21,4,6,33,7,71,4,21,1,0,4,1,5,0,1
n,y,n,n,n,12,0,44,7,21,1,4,57,4,23,27,91,38,0,6,34,51,15,8,8,9,43,295,3,44,13,15,9,9,1,5,3,26,6,1,83,9,58,49,0,4,2,12,36,5,22,13,2,2,13,2,13,67,10,87,4,7,9,4,3,0,1,1,4
n,y,n,n,y,7,2,45,4,19,0,0,46,0,14,15,68,27,4,3,34,41,15,11,3,9,28,235,3,20,2,8,3,3,5,2,3,26,1,0,72,7,41,23,0,0,1,6,21,2,23,4,0,0,17,1,21,37,8,65,1,15,0,1,7,0,0,3,2
n,n,n,y,y,21,2,247,34,113,11,3,182,5,114,45,214,113,26,19,130,255,34,33,21,9,105,969,9,83,19,17,25,2,13,6,27,81,19,6,263,14,119,53,17,2,2,39,34,9,118,28,2,6,93,1,20,57,28,245,13,125,3,0,16,4,4,4,7
n,y,n,y,y,20,0,74,10,42,0,1,105,4,44,23,140,35,9,16,80,93,20,17,14,9,45,446,3,56,3,2,7,1,6,2,2,50,4,0,155,2,88,45,2,3,0,16,42,5,23,6,5,1,26,1,20,110,9,124,2,11,0,0,3,1,6,1,1
n,y,n,n,y,3,0,22,5,11,2,0,25,0,9,6,35,14,0,0,25,23,6,3,3,1,4,107,1,6,0,1,1,1,2,0,2,6,0,0,31,0,24,4,0,0,0,1,4,1,7,0,0,1,7,0,3,30,3,24,2,2,0,0,1,0,3,0,0
y,y,y,n,y,16,2,53,8,26,1,3,72,1,26,26,93,31,0,6,61,68,16,7,9,6,29,299,1,34,10,8,8,1,4,3,0,32,4,3,104,6,44,23,6,1,3,14,12,5,24,10,1,0,12,2,16,74,13,93,7,11,0,1,2,0,3,0,1
y,n,y,y,n,26,0,103,7,40,3,2,121,1,46,37,150,52,7,11,103,92,38,34,8,4,50,512,1,58,9,2,7,1,19,5,1,55,4,2,176,3,69,41,10,8,3,20,32,7,37,12,0,2,36,3,18,105,14,163,3,35,0,0,7,0,8,0,3
