Essay_Number,Attribution,Background,Cause,Comparison,Condition,Contrast,Elaboration,Enablement,Evaluation,Explanation,Joint,Manner-Means,Summary,Temporal,Topic-Change,Topic-Comment,
40,19,2,2,0,0,7,65,0,9,2,6,0,0,0,2,0,
41,10,1,0,0,0,0,18,2,9,3,2,0,1,4,0,0,
42,23,6,0,0,1,10,43,1,5,2,18,0,0,4,0,0,
43,11,4,1,0,1,6,33,4,7,7,14,0,2,2,0,0,
44,14,3,0,0,1,4,37,3,5,4,4,0,2,0,4,0,
46,11,2,0,0,1,4,38,0,2,2,10,0,0,0,0,0,
47,27,3,1,0,0,13,38,4,14,13,16,0,2,1,0,0,
48,11,2,0,0,0,9,15,0,7,2,22,0,1,0,0,2,
49,9,3,0,0,0,10,38,4,3,4,6,0,3,0,0,0,
50,39,7,2,0,8,13,57,4,17,8,40,1,5,3,0,2,
51,15,2,0,0,1,5,61,2,10,7,8,0,2,4,4,0,
52,30,3,1,0,2,10,37,4,17,4,22,0,4,4,2,0,
54,9,3,0,0,2,13,14,0,5,3,22,0,1,0,0,0,
55,21,4,0,1,0,8,73,3,9,1,20,0,6,8,8,0,
56,12,3,2,0,2,9,15,5,2,1,8,0,2,1,0,0,
57,11,1,0,0,0,2,42,1,6,2,10,0,2,5,2,0,
59,23,9,2,0,1,6,32,3,6,4,10,1,1,0,0,0,
61,13,5,0,0,1,9,22,2,5,0,14,0,1,1,0,0,
62,22,3,0,0,1,5,40,3,4,3,22,0,0,1,0,0,
63,15,2,0,0,1,6,21,4,1,2,2,0,1,2,0,2,
64,11,1,0,0,1,3,35,0,3,1,6,0,2,0,0,0,
65,12,4,0,2,0,1,44,2,3,1,12,0,0,0,0,0,
66,10,2,0,0,1,9,26,2,10,8,24,0,0,3,0,0,
68,22,1,0,0,1,1,41,2,0,0,6,0,2,2,0,0,
69,9,2,0,0,0,1,22,3,2,5,8,0,3,0,0,0,
72,9,3,0,0,0,3,56,2,2,1,22,0,3,3,0,0,
73,11,2,0,0,1,3,14,1,2,1,6,0,1,0,0,0,
75,16,2,1,0,3,10,43,3,3,14,30,0,1,0,0,0,
76,11,3,0,1,0,1,38,0,4,0,8,0,4,0,0,0,
77,11,0,0,0,1,7,30,3,5,2,12,0,1,0,0,0,
80,6,2,1,0,4,3,29,1,5,3,2,0,3,1,0,0,
81,10,0,0,0,0,3,21,3,3,1,6,0,0,0,0,0,
82,6,1,0,0,1,0,9,2,2,2,14,0,1,0,0,0,
83,29,3,3,1,0,18,56,4,5,4,16,0,2,0,0,0,
84,11,0,0,0,0,3,35,2,6,1,4,0,2,0,0,0,
85,19,6,0,1,1,6,32,0,12,2,16,0,4,4,0,2,
86,6,3,1,0,1,2,37,1,7,4,32,0,1,0,0,0,
87,18,1,2,0,1,5,66,6,7,1,12,0,1,4,6,0,
88,10,3,0,1,0,4,18,3,4,9,18,0,0,0,0,0,
89,15,2,1,2,0,7,55,2,1,2,12,0,1,2,0,0,
90,12,4,0,0,1,3,25,1,2,1,10,0,1,0,0,0,
91,23,0,1,0,2,4,25,1,3,5,12,0,0,0,0,0,
92,8,2,0,0,0,4,28,1,5,1,6,0,0,0,0,0,
93,27,9,2,1,3,12,83,3,14,13,82,0,3,7,0,0,
94,29,5,0,0,1,9,37,3,5,2,6,0,1,3,0,0,
95,4,2,0,0,1,2,8,3,0,1,6,0,0,0,0,0,
96,19,8,0,0,2,5,16,4,1,6,16,0,0,0,0,1,
97,21,4,0,0,0,16,51,2,15,8,28,0,5,5,6,0,
98,12,1,0,0,0,0,41,1,1,3,0,0,4,2,6,0,
99,23,3,0,0,2,11,33,1,10,2,32,0,2,1,0,0,
100,22,1,1,0,0,9,84,1,3,2,0,0,2,2,0,0,
101,17,4,0,0,3,12,19,1,5,6,20,0,0,0,0,0,
102,14,5,1,0,0,6,33,3,1,2,12,0,1,2,0,0,
103,5,0,0,0,0,2,17,0,1,8,0,0,0,0,0,0,
104,16,2,1,0,1,6,20,2,7,4,16,1,1,3,0,0,
105,20,5,1,1,2,9,18,0,14,6,18,0,1,3,0,2,
106,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,
107,20,1,0,0,1,3,52,2,1,2,18,0,0,1,0,0,
108,11,0,2,0,0,5,17,1,2,3,4,0,0,0,0,2,
109,25,5,0,1,3,8,39,2,6,9,26,0,1,1,0,0,
110,23,2,1,0,4,3,40,1,11,3,12,0,3,4,0,0,
111,23,5,0,0,0,6,84,11,3,1,4,0,2,2,4,0,
112,9,0,0,0,2,3,18,1,1,4,16,0,0,0,0,0,
113,12,2,0,0,0,5,44,1,1,4,2,1,0,2,0,0,
114,10,5,0,0,1,5,26,5,9,2,8,0,2,2,0,0,
116,9,3,0,0,0,2,18,3,1,4,18,0,0,2,0,0,
117,9,1,0,0,1,4,30,3,3,4,4,0,0,0,0,0,
118,17,3,1,0,0,4,21,1,5,8,16,0,0,2,0,0,
119,10,5,0,0,0,11,13,0,4,5,20,0,2,2,0,0,
120,26,6,1,0,1,14,26,1,14,3,12,0,1,2,2,2,
121,15,3,0,0,2,5,87,2,3,3,10,0,4,2,4,0,
123,20,2,2,0,1,4,36,1,5,3,14,0,0,3,0,0,
125,14,3,0,0,2,6,28,2,8,3,18,0,1,0,0,0,
126,8,2,0,0,1,3,28,0,4,1,6,0,1,0,0,2,
127,15,2,2,0,0,5,66,0,0,3,12,0,1,0,0,0,
128,12,2,1,1,2,1,47,1,2,4,10,0,0,0,0,0,
129,24,3,0,0,2,10,28,1,11,3,22,0,2,6,0,2,
130,3,2,0,0,0,1,13,1,3,3,4,0,0,0,0,0,
131,9,4,1,0,0,2,21,1,6,7,12,0,1,0,0,2,
132,14,3,0,0,1,4,20,3,2,3,22,2,0,0,0,0,
133,8,2,0,0,1,4,11,0,3,1,12,0,2,2,0,0,
134,14,2,0,0,1,2,30,2,5,2,8,0,1,0,2,0,
135,7,5,0,0,4,3,21,1,5,5,8,0,1,1,0,0,
136,14,4,3,0,3,8,12,3,10,6,16,0,2,1,0,0,
138,17,8,0,0,0,6,43,1,8,2,16,0,2,1,0,0,
139,19,0,0,0,0,1,29,1,3,2,4,0,1,1,2,2,
140,12,3,0,0,2,13,46,3,5,9,22,0,1,1,0,0,
141,14,3,0,0,2,10,15,1,11,3,12,0,3,0,0,0,
142,35,3,1,1,0,7,26,4,9,5,26,1,1,1,0,0,
143,17,2,1,0,2,5,16,2,13,5,12,0,0,2,0,0,
144,36,2,1,0,0,7,71,0,6,2,20,0,3,4,0,2,
147,2,3,1,0,0,4,22,1,5,2,10,0,3,0,0,0,
148,11,2,2,0,0,6,50,0,7,4,18,0,0,4,6,0,
149,10,1,0,0,1,7,34,1,2,3,6,0,2,0,0,0,
150,22,2,1,0,3,14,25,4,10,7,44,1,0,0,0,0,
151,10,3,0,0,1,3,12,0,6,5,4,0,2,0,0,0,
152,24,2,0,0,1,4,40,1,1,3,8,0,2,2,0,0,
154,11,10,1,0,1,5,22,5,0,3,18,0,0,1,0,0,
155,30,3,0,0,2,9,62,1,2,5,16,1,0,2,0,0,
156,8,2,0,0,0,6,6,0,5,8,18,0,1,0,0,0,
157,17,2,0,0,3,9,37,3,11,0,24,0,1,2,0,0,
159,30,7,0,0,0,19,75,2,7,7,42,0,6,5,2,0,
160,13,3,2,0,0,7,18,3,3,4,30,0,2,0,0,0,
161,8,2,1,0,1,5,19,0,9,3,8,0,0,2,2,0,
162,5,1,0,0,0,3,16,1,4,4,14,0,0,0,0,0,
163,10,6,0,0,2,5,15,1,9,3,12,0,2,2,0,0,
164,13,2,0,0,1,8,36,2,3,2,28,0,0,0,0,0,
165,40,5,4,0,2,15,21,6,16,6,14,1,1,0,0,0,
166,8,1,0,5,1,2,8,2,2,4,6,0,1,2,0,0,
167,16,7,0,0,0,2,52,2,2,2,24,0,1,3,0,0,
168,26,5,0,0,2,7,30,4,6,6,30,0,4,1,0,2,
170,9,0,0,0,2,2,17,0,0,0,2,0,0,0,0,0,
171,6,0,0,0,0,0,16,0,4,1,14,0,1,4,0,0,
172,10,2,0,0,1,3,23,2,7,2,8,0,0,0,0,0,
173,14,2,1,0,0,9,17,1,4,1,12,0,0,3,0,0,
174,11,0,0,0,1,0,49,2,0,0,2,0,0,0,2,0,
175,14,1,1,0,0,11,22,0,13,3,10,0,0,6,0,0,
176,12,2,0,0,1,6,50,5,5,0,10,0,2,1,2,0,
177,21,3,0,0,2,12,38,1,9,1,18,1,4,2,0,0,
179,63,6,0,1,2,8,22,2,5,4,4,1,0,2,0,0,
180,17,4,0,0,0,7,44,3,3,4,6,0,2,0,0,0,
181,9,0,1,0,3,4,14,1,3,2,12,0,1,0,0,0,
182,15,1,0,0,1,6,25,0,7,7,8,1,3,0,0,0,
183,16,1,0,0,2,4,36,2,9,9,26,0,0,0,0,2,
184,14,8,1,0,0,13,27,4,9,8,20,0,0,2,0,2,
185,28,2,0,0,3,3,65,6,9,4,22,0,3,0,2,0,
186,52,4,2,0,5,21,65,1,13,5,54,0,1,2,0,0,
187,18,3,0,0,4,9,29,1,16,8,14,0,1,0,0,0,
190,5,0,0,0,0,4,34,1,0,2,4,0,0,0,0,0,
191,70,5,1,0,4,19,74,2,20,8,44,0,2,8,0,0,
192,1,0,0,0,0,2,15,0,2,3,6,0,0,2,0,0,
193,17,4,0,0,1,7,18,2,8,3,12,0,0,4,0,0,
196,25,3,0,0,0,2,74,8,6,4,16,0,3,0,0,0,
197,32,4,0,1,2,5,53,2,3,4,16,0,1,2,0,0,
198,25,11,1,0,0,10,58,2,11,8,18,0,2,5,0,0,
199,19,3,0,0,1,3,47,3,1,3,6,0,0,0,0,0,
201,20,1,0,0,0,9,20,2,5,5,18,0,0,4,0,0,
202,5,0,1,0,1,4,19,1,4,1,6,0,1,2,0,0,
203,7,0,1,0,4,5,25,1,13,4,14,0,0,4,0,0,
204,10,4,0,0,1,8,22,0,2,5,14,0,0,4,0,0,
205,11,0,0,0,3,5,15,5,12,2,14,1,1,0,0,0,
206,11,3,0,0,4,3,12,3,6,2,6,0,1,0,0,0,
207,26,1,0,0,1,4,29,3,6,2,8,0,1,0,0,0,
209,16,2,0,0,4,4,42,5,4,2,18,0,2,2,2,0,
210,9,4,0,0,5,5,47,2,5,2,8,0,1,2,2,0,
211,11,1,0,0,3,6,23,2,8,3,26,0,0,1,0,0,
212,7,3,0,0,0,2,4,0,6,1,10,0,0,0,0,0,
213,22,4,0,0,4,3,77,0,6,5,12,1,4,3,8,2,
214,10,2,1,0,1,10,20,1,3,1,8,0,0,0,0,0,
215,54,16,1,0,5,39,73,8,13,11,46,0,3,4,0,0,
216,9,5,1,0,0,2,10,0,5,3,10,0,1,0,0,0,
217,10,3,2,0,1,10,16,1,12,1,16,0,3,2,0,0,
218,22,5,0,1,3,9,40,2,10,8,18,0,4,3,0,0,
219,18,4,0,0,0,2,33,3,4,1,2,0,2,0,4,0,
223,14,2,0,0,0,8,47,0,5,4,18,0,1,2,0,0,
224,45,3,2,0,6,9,56,2,7,3,24,0,1,0,0,0,
225,17,1,2,0,2,10,10,5,6,3,6,0,1,0,0,0,
226,24,4,3,0,1,14,25,1,14,7,16,0,2,3,0,0,
227,15,3,2,0,0,7,23,1,9,5,20,0,2,1,2,0,
228,14,0,0,0,0,2,31,1,5,3,10,0,2,0,0,0,
229,16,5,0,1,4,2,40,4,6,6,20,0,0,0,0,0,
231,12,4,2,0,0,3,31,4,3,3,16,0,2,6,2,0,
233,14,2,0,0,1,3,27,1,2,0,4,0,0,0,0,0,
234,13,2,0,0,1,7,39,2,5,3,24,0,2,2,0,0,
235,22,10,2,1,4,7,59,6,5,6,18,0,3,3,0,2,
236,8,5,0,0,1,6,27,0,3,2,8,1,2,0,0,0,
237,10,2,0,0,2,12,28,2,10,4,20,0,3,0,2,0,
238,28,2,3,2,0,6,59,0,2,1,6,1,1,5,0,0,
239,16,9,1,0,2,11,31,4,10,6,8,1,5,1,0,0,
240,17,2,0,0,0,1,37,1,2,1,6,0,0,0,0,0,
241,13,6,0,1,0,16,27,3,15,3,32,0,2,0,2,0,
242,24,3,0,1,2,13,55,7,6,6,30,0,0,4,0,0,
243,20,4,1,0,1,11,23,0,8,17,26,0,1,4,0,0,
244,14,5,1,0,1,18,16,4,15,7,18,0,3,2,0,0,
246,33,7,1,0,4,10,25,1,11,18,26,0,0,2,0,0,
247,20,6,2,0,0,11,36,0,3,6,16,0,3,1,0,0,
249,11,0,0,0,0,0,14,0,7,0,8,0,0,0,2,0,
250,20,1,0,0,1,7,44,0,7,1,8,0,1,1,0,0,
251,5,0,0,0,1,4,19,0,0,1,4,0,0,0,0,0,
254,14,2,0,0,4,3,37,2,8,7,4,0,0,2,0,0,
255,4,1,0,0,2,1,19,0,1,0,4,0,0,0,0,0,
256,12,3,2,0,0,3,33,0,15,5,4,0,1,2,0,0,
258,21,4,0,0,2,5,36,2,8,7,10,0,2,2,0,0,
259,19,5,0,0,0,8,36,0,13,4,18,0,0,8,0,0,
260,32,10,1,0,1,8,65,4,14,6,18,0,6,4,0,0,
261,19,2,0,0,0,6,94,2,5,6,12,0,1,3,4,0,
263,10,1,0,1,1,5,33,0,8,2,10,0,0,0,2,0,
264,27,3,1,0,1,12,62,6,12,5,34,0,4,5,0,0,
265,6,1,1,0,0,3,33,1,6,2,10,0,2,1,0,0,
266,27,4,0,0,1,10,7,3,6,9,26,0,1,0,0,2,
267,6,1,0,0,2,0,9,1,0,0,6,0,0,0,0,0,
270,25,3,0,0,2,11,51,3,7,15,28,0,1,3,0,0,
272,23,2,0,0,0,7,52,0,11,8,8,0,2,0,4,0,
273,10,1,1,0,0,1,10,1,3,2,12,1,0,2,0,0,
274,6,4,0,0,0,0,34,3,0,3,4,0,2,0,0,0,
275,21,5,0,0,3,8,17,3,11,7,12,0,1,0,0,0,
277,11,1,0,0,0,1,44,0,3,2,2,0,2,0,2,0,
278,25,3,0,0,0,12,28,3,15,4,10,0,2,0,0,0,
279,6,1,0,0,0,2,14,4,1,4,14,0,1,2,0,0,
280,25,4,0,0,2,13,25,2,7,4,18,0,0,2,0,0,
281,39,4,1,0,4,4,18,2,2,6,0,3,0,1,0,0,
283,12,0,0,0,0,1,32,3,4,0,4,0,0,1,0,0,
284,13,5,0,0,2,11,16,2,4,1,14,0,0,0,0,0,
285,19,1,0,0,1,5,29,6,1,5,28,1,0,0,0,0,
286,11,0,0,0,0,2,21,1,3,3,4,0,0,2,0,0,
287,8,2,0,0,0,0,12,1,1,0,8,0,1,2,0,0,
288,7,1,0,0,0,6,35,1,5,0,6,0,3,2,0,0,
290,34,0,0,0,7,15,23,3,8,6,16,0,3,0,0,0,
291,15,1,0,0,0,7,31,0,5,2,12,0,1,0,0,0,
292,8,3,0,0,0,6,28,0,3,8,22,0,0,0,0,0,
296,4,1,0,0,0,1,31,2,1,3,12,0,1,1,0,0,
297,5,1,1,0,1,2,31,1,3,2,12,0,0,2,2,0,
298,16,2,0,0,1,6,10,0,4,3,18,1,1,2,0,0,
299,21,2,0,0,1,5,69,5,10,6,22,0,5,3,0,0,
300,19,1,0,0,1,0,33,1,0,0,24,0,2,0,2,0,
301,8,0,1,0,1,2,32,0,5,4,6,0,1,0,0,0,
302,9,7,1,0,3,8,21,2,12,6,34,0,1,0,0,0,
303,7,3,2,0,0,5,39,3,4,7,8,0,0,0,2,0,
304,32,4,0,0,1,7,70,3,11,6,46,1,2,5,0,0,
305,29,7,3,0,4,12,55,4,6,4,12,0,2,1,0,0,
306,16,4,3,0,1,9,29,2,5,4,10,0,2,0,2,0,
308,11,4,0,0,2,2,17,2,5,5,10,0,2,3,0,0,
310,12,0,0,0,0,3,23,0,5,3,14,0,2,0,2,0,
311,4,2,0,0,0,4,37,1,1,5,2,0,1,0,0,0,
312,19,2,3,0,2,5,47,4,2,7,28,0,3,0,0,0,
313,20,4,0,0,5,12,26,3,10,5,26,0,0,10,0,0,
314,26,5,1,0,1,21,59,1,12,8,22,0,4,5,0,2,
316,34,4,0,0,2,7,36,1,14,1,22,0,2,2,0,0,
317,33,5,2,0,1,16,27,1,12,6,34,0,0,0,0,0,
318,10,1,3,0,1,1,34,2,0,6,4,0,0,0,2,0,
319,5,2,0,0,0,5,6,0,1,5,10,0,0,4,0,0,
320,35,4,0,0,0,10,37,1,3,6,24,0,1,0,0,0,
324,15,1,0,1,0,4,54,3,7,0,2,0,2,2,16,0,
325,24,3,3,0,2,4,49,4,5,1,16,0,2,4,2,0,
326,10,3,0,0,2,4,48,3,7,10,12,0,2,6,0,0,
327,19,2,0,0,1,5,55,1,4,1,2,0,3,0,2,0,
328,8,5,0,0,1,1,5,3,3,5,12,0,0,3,0,0,
329,10,1,0,0,2,4,28,1,8,4,18,0,0,0,0,0,
330,28,6,0,1,0,15,46,3,11,2,22,0,4,0,0,0,
331,27,0,0,4,2,8,85,3,14,3,10,0,4,4,10,0,
332,13,0,0,0,3,2,36,3,3,1,8,1,2,0,0,0,
333,26,4,0,0,4,7,26,2,10,9,24,0,2,1,0,0,
334,19,5,2,0,2,13,42,2,18,6,22,0,3,4,2,0,
335,9,2,0,0,2,3,30,1,6,4,18,0,0,2,0,0,
336,19,4,1,0,0,17,31,3,17,6,4,0,3,1,2,0,
337,14,6,2,0,1,2,31,1,10,3,16,0,4,5,2,0,
338,10,2,0,0,2,5,59,2,7,3,10,0,1,2,6,2,
339,29,8,2,1,1,10,47,4,15,1,36,0,2,1,0,0,
340,22,0,0,0,0,3,34,8,7,2,14,0,4,4,0,0,
341,32,5,0,1,3,4,46,2,11,0,10,0,2,2,0,1,
342,9,1,0,0,2,8,13,0,10,4,16,0,0,2,0,0,
343,25,2,0,0,0,2,44,0,4,1,24,0,1,1,0,0,
344,4,0,0,0,4,0,4,0,1,2,0,0,0,0,0,0,
345,14,0,0,0,0,6,17,0,2,0,4,0,1,2,0,0,
346,11,3,0,0,1,1,25,4,1,2,18,1,0,0,0,0,
347,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,
349,9,2,0,0,0,1,20,2,1,1,0,0,0,0,0,0,
350,7,4,0,0,0,2,15,2,1,5,10,0,0,0,0,0,
352,4,0,0,1,0,2,12,2,1,2,8,0,2,0,0,0,
353,24,5,3,0,4,10,67,8,5,0,26,0,2,0,4,1,
354,2,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,
355,3,0,0,0,0,2,19,2,0,0,10,0,0,0,0,0,
356,16,12,1,0,0,14,35,1,10,7,12,0,1,2,0,0,
358,12,2,0,0,2,7,33,0,4,3,16,0,0,0,0,0,
359,4,2,0,0,1,2,19,5,0,2,4,0,1,0,0,0,
361,6,2,0,0,3,2,11,1,3,2,10,0,1,0,0,0,
362,4,0,0,0,0,0,11,1,2,1,8,0,0,1,0,0,
363,10,2,0,0,0,1,22,3,1,2,12,0,2,0,0,0,
364,10,2,0,0,0,8,15,0,6,3,10,0,1,0,0,0,
365,20,4,0,1,5,8,50,3,6,2,6,0,5,3,0,0,
366,26,4,0,0,0,13,45,0,11,5,26,0,1,0,0,0,
367,12,5,1,0,1,11,40,5,8,6,20,0,1,1,0,0,
368,15,4,1,0,1,6,25,2,0,3,12,0,1,0,0,0,
369,26,9,0,1,1,12,52,1,13,10,30,0,2,1,0,0,
370,30,5,0,2,2,7,83,1,14,0,16,0,2,4,4,0,
371,36,4,0,0,0,8,39,5,12,6,48,0,7,0,0,0,
373,35,9,0,1,3,16,33,2,17,6,28,0,2,4,0,2,
375,18,3,0,1,1,8,34,5,7,6,28,0,2,2,0,0,
376,12,4,0,1,0,2,16,3,3,2,4,1,2,0,0,0,
377,9,0,0,0,0,4,23,1,2,0,4,0,0,1,0,0,
378,24,4,0,0,1,10,30,0,6,4,42,0,1,3,0,0,
380,27,2,3,0,2,8,67,5,11,6,26,0,2,4,0,2,
381,10,3,0,0,1,4,22,0,2,1,12,0,1,0,0,0,
383,33,1,0,0,2,8,22,4,11,5,26,0,0,0,0,0,
384,14,3,0,0,0,3,17,0,6,3,6,0,0,0,0,2,
385,14,1,1,0,3,4,14,0,2,4,16,0,1,2,0,0,
386,26,9,1,0,1,13,55,1,16,7,20,1,4,2,0,0,
389,7,1,0,0,0,4,18,0,1,2,10,0,0,0,0,0,
390,22,1,0,0,3,14,61,2,2,3,20,0,0,1,0,0,
392,24,0,0,0,5,6,22,1,5,3,12,0,1,0,0,0,
393,7,2,0,0,0,0,10,2,1,2,8,0,0,0,0,0,
395,12,4,0,0,1,3,14,2,5,5,14,0,2,0,0,0,
396,4,0,0,0,0,6,13,0,1,0,6,0,0,0,0,0,
397,20,11,0,0,1,11,64,2,9,2,8,0,3,6,10,0,
398,6,4,0,0,2,12,19,1,2,4,10,0,0,1,0,0,
399,9,6,0,0,1,7,38,4,11,12,18,0,0,3,0,2,
401,16,6,1,1,2,7,31,6,8,6,22,0,3,0,0,0,
402,5,3,1,0,1,1,21,1,0,0,4,0,1,0,0,0,
403,15,1,1,0,2,7,25,1,9,7,16,0,3,2,0,0,
404,15,2,2,0,2,3,23,2,1,1,16,0,1,0,0,0,
405,10,0,0,0,0,4,10,0,1,1,2,0,1,0,0,0,
406,38,10,3,1,2,30,33,1,26,15,28,0,5,6,0,0,
407,8,0,0,0,1,2,24,2,1,2,6,0,0,1,0,0,
408,21,0,0,0,0,5,19,1,3,5,12,0,1,0,0,2,
410,20,1,2,0,2,9,62,3,8,5,18,0,3,1,0,0,
411,16,0,0,0,6,2,39,2,3,2,2,0,1,0,0,0,
412,22,3,0,0,1,3,36,2,3,4,24,0,1,1,0,0,
413,21,3,0,0,1,4,22,3,7,3,26,0,1,3,0,0,
414,3,0,0,0,2,0,10,0,0,0,6,0,1,0,0,0,
416,13,3,1,0,5,1,47,5,4,2,12,0,1,0,0,0,
417,15,2,1,0,1,4,65,0,7,3,20,0,2,1,0,0,
418,22,3,0,0,0,6,44,0,2,2,10,0,1,1,0,0,
419,3,3,1,0,3,4,19,1,8,1,14,0,2,0,0,2,
420,11,2,0,0,1,10,11,4,4,2,16,0,1,2,0,0,
421,21,1,0,0,4,6,24,1,6,7,16,0,0,2,0,0,
422,13,1,0,0,0,8,36,3,7,4,12,0,1,0,0,0,
423,7,0,1,1,1,2,14,0,2,5,20,0,0,0,0,0,
424,7,0,0,0,0,6,4,0,2,4,8,0,1,0,0,0,
425,11,1,1,0,2,1,14,2,4,3,12,0,0,2,0,0,
426,10,6,0,0,1,10,26,0,7,3,20,0,0,2,0,0,
428,8,0,0,0,1,3,19,1,5,0,0,0,1,0,0,0,
429,13,5,1,1,1,2,27,0,5,6,32,0,1,0,0,0,
430,3,3,0,0,3,7,24,2,5,3,18,1,1,0,0,0,
431,17,2,0,0,2,4,22,3,10,2,12,0,3,0,0,0,
432,24,2,0,0,1,9,41,4,13,8,32,1,4,5,0,0,
433,5,3,1,1,0,3,31,2,6,3,10,0,2,0,0,0,
434,44,6,1,0,1,17,47,4,15,7,22,0,5,19,0,0,
435,7,2,1,1,2,1,17,2,6,2,12,0,0,2,0,0,
436,25,7,1,0,1,7,29,4,11,7,40,0,2,2,0,0,
437,35,5,1,0,2,10,36,1,9,8,24,0,1,8,0,0,
439,45,12,1,0,4,21,53,0,14,11,32,0,2,9,0,0,
440,36,7,2,1,1,10,20,3,7,7,14,1,0,2,0,0,
441,17,2,0,0,2,5,40,1,11,4,22,0,2,2,2,0,
442,13,2,1,0,3,10,27,2,4,10,36,0,1,2,0,0,
443,14,4,0,0,0,6,27,0,5,0,10,0,0,0,0,2,
444,10,1,0,0,0,0,33,2,1,1,6,1,1,2,0,0,
445,4,3,0,0,2,7,26,3,4,6,26,0,0,1,0,0,
446,2,0,0,0,0,1,16,1,2,1,10,0,0,0,0,0,
447,6,2,0,0,0,4,40,1,3,2,22,1,1,0,0,0,
448,13,2,3,0,3,5,37,1,6,2,16,0,0,0,0,0,
449,12,5,0,0,0,5,36,2,2,2,4,0,2,1,6,0,
450,3,2,0,0,0,4,15,0,0,0,20,0,0,0,0,0,
452,18,5,0,1,4,16,39,4,14,9,28,1,3,1,0,0,
453,17,4,2,0,6,7,39,2,12,5,20,0,2,0,0,0,
454,15,3,0,0,4,13,50,1,6,8,42,0,2,2,0,0,
455,3,0,0,0,3,2,27,2,4,0,8,0,1,0,0,0,
456,17,3,0,0,1,10,17,0,3,2,18,0,2,0,0,0,
457,4,1,0,0,0,4,24,1,1,1,8,0,1,0,0,0,
458,17,1,0,0,0,3,28,2,10,6,12,0,0,4,0,0,
459,26,4,0,0,2,7,27,5,7,7,10,0,0,2,0,0,
460,29,5,2,0,5,8,21,2,9,7,14,0,1,0,0,0,
461,10,4,1,1,2,11,53,2,15,7,8,0,6,0,6,0,
464,23,2,0,0,0,7,26,1,4,4,34,1,1,0,0,0,
465,8,2,1,0,0,6,26,2,11,4,26,0,0,2,0,0,
466,11,1,0,0,0,11,46,2,0,0,40,0,1,2,0,0,
467,13,0,0,1,2,6,32,2,14,4,10,0,0,0,0,0,
468,4,0,0,0,0,0,17,1,3,2,2,0,1,0,2,0,
469,6,0,1,0,1,1,16,4,0,4,6,0,0,0,0,0,
470,12,2,1,0,4,5,11,2,10,6,32,0,5,2,0,0,
471,18,0,1,0,3,3,29,3,4,3,16,2,0,0,0,0,
472,16,3,0,0,1,2,2,1,10,4,20,0,2,1,0,0,
473,9,2,0,0,2,5,23,0,6,3,12,0,0,2,0,0,
474,16,9,0,0,1,3,14,1,9,11,30,0,2,2,0,0,
475,9,1,0,0,2,6,5,0,0,2,12,0,0,1,0,2,
476,11,1,0,0,0,7,20,2,1,1,14,0,0,0,0,0,
477,26,5,1,1,1,22,41,3,7,4,18,1,3,0,2,0,
478,10,3,0,0,0,6,20,0,6,4,22,0,1,0,0,0,
479,13,1,0,2,5,3,21,1,8,7,38,0,0,0,0,0,
